,State,City,Location,Store Type,Address,Endpoint
0,Alabama,Birmingham,SUMMIT (THE) - AL,,"220 Summit Blvd Suite 160,Birmingham, AL 35243",https://bananarepublic.gap.com/stores/al/birmingham/
1,Alabama,Foley,FOLEY (RIVIERA),Factory Store,"2601 S Mckenzie Street Spaces S-6, S-7, S-8,Foley, AL 36535",https://bananarepublic.gap.com/stores/al/foley/
2,Alabama,Leeds,SHOPS OF GRAND RIVER,Factory Store,"6200 Grand River Blvd Ste 238,Leeds, AL 35094-6703",https://bananarepublic.gap.com/stores/al/leeds/
3,Arizona,Anthem,Outlt North Phoenix,"Factory Store,Petites,Women's Only,Men's Only","4250 W Anthem Way Ste 135,Anthem, AZ 85086",https://bananarepublic.gap.com/stores/az/anthem/
4,Arizona,Chandler,PHOENIX PREMIUM,Factory Store,"4976 Premium Outlets Way Ste 518,Chandler, AZ 85226-5510",https://bananarepublic.gap.com/stores/az/chandler/
5,Arizona,Gilbert,San Tan Village,Shoes,"2212 East Williams Field Rd Space 105,Gilbert, AZ 85295",https://bananarepublic.gap.com/stores/az/gilbert/
6,Arizona,Glendale,WESTGATE TANGER OUT,Factory Store,"6800 N 95 Ave Ste 290,Glendale, AZ 85305",https://bananarepublic.gap.com/stores/az/glendale/
7,Arizona,Phoenix,SHOPS @ TOWN COUNTRY,"Women's Only,Men's Only","2103 East Camelback Road Suite A-18-a,Phoenix, AZ 85016",https://bananarepublic.gap.com/stores/az/phoenix/
8,Arizona,Scottsdale,KIERLAND COMMONS,"Baby,Women's Only,Men's Only","15215 N Kierland Blvd 110,Scottsdale, AZ 85254-2154",https://bananarepublic.gap.com/stores/az/scottsdale/
9,Arizona,Tucson,TUCSON PREMIUM OUTLT,Factory Store,"6401 W Marana Center Blvd Ste 927,Tucson, AZ 85742-8564",https://bananarepublic.gap.com/stores/az/tucson/
10,Arizona,Tucson,Park Mall,"Shoes,Women's Only,Men's Only","5870 East Broadway Blvd Space 224,Tucson, AZ 85711",https://bananarepublic.gap.com/stores/az/tucson/
11,Arkansas,Little Rock,OUTLS of Little Rock,Factory Store,"11201 Bass Pro Parkway #g #e-w115,Little Rock, AR 72210",https://bananarepublic.gap.com/stores/ar/littlerock/
12,Arkansas,Rogers,PINNACLE HILLS PROM,,"2203 S. Promenade Blvd Suite #2190,Rogers, AR 72758",https://bananarepublic.gap.com/stores/ar/rogers/
13,California,Brea,BREA MALL,"Women's Only,Men's Only","2018 Brea Mall Space 2016,Brea, CA 92821",https://bananarepublic.gap.com/stores/ca/brea/
14,California,Burlingame,BURLINGAME AVE - CA,"BR Home,Baby","1218 Burlingame Ave ,Burlingame, CA 94010-4128",https://bananarepublic.gap.com/stores/ca/burlingame/
15,California,Cabazon,DESERT HILLS PREMIUM,"Factory Store,Petites,Women's Only,Men's Only","48650 Seminole Drive Ste 116,Cabazon, CA 92230-2117",https://bananarepublic.gap.com/stores/ca/cabazon/
16,California,Camarillo,CAMARILLO PREMIUM,"Factory Store,Petites,Women's Only,Men's Only","800 Ventura Boulevard Ste 600,Camarillo, CA 93010-6007",https://bananarepublic.gap.com/stores/ca/camarillo/
17,California,Canoga Park,Topanga Plaza,,"6600 Topanga Cnyn Blvd Space 19-20,Canoga Park, CA 91303-2609",https://bananarepublic.gap.com/stores/ca/canogapark/
18,California,Carlsbad,CARLSBAD PREMIUM,"Factory Store,Petites","5610 Paseo Del Norte Ste 103,Carlsbad, CA 92008-4442",https://bananarepublic.gap.com/stores/ca/carlsbad/
19,California,Cerritos,Los Cerritos Cntr,Shoes,"221 Los Cerritos Mall Ste 221,Cerritos, CA 90703",https://bananarepublic.gap.com/stores/ca/cerritos/
20,California,Chino Hills,Shops At Chino Hills,Shoes,"13855 City Center Drive ,Chino Hills, CA 91709",https://bananarepublic.gap.com/stores/ca/chinohills/
21,California,Commerce,CITADEL OUTLETS,"Factory Store,Petites,Women's Only,Men's Only","100 Citadel Drive Ste 410,Commerce, CA 90040-1594",https://bananarepublic.gap.com/stores/ca/commerce/
22,California,Concord,VERANDA (THE),Factory Store,"2025 Diamond Blvd Ste F-115,Concord, CA 94520-5797",https://bananarepublic.gap.com/stores/ca/concord/
23,California,Corte Madera,VILLAGE CORTE MADERA,"BR Home,Baby,Shoes,Women's Only,Men's Only","1516 Redwood Highway #c033,Corte Madera, CA 94925",https://bananarepublic.gap.com/stores/ca/cortemadera/
24,California,Emeryville,POWELL STREET PLAZA,Factory Store,"5791 Christie Ave ,Emeryville, CA 94608",https://bananarepublic.gap.com/stores/ca/emeryville/
25,California,Folsom,FOLSOM PREMIUM,Factory Store,"13000 Folsom Blvd ,Folsom, CA 95630",https://bananarepublic.gap.com/stores/ca/folsom/
26,California,Fresno,Fig Garden Village,,"742 West Shaw Avenue ,Fresno, CA 93704",https://bananarepublic.gap.com/stores/ca/fresno/
27,California,Gilroy,GILROY PREMIUM,"Factory Store,Petites","681 Leavesley Rd Ste C190,Gilroy, CA 95020-3658",https://bananarepublic.gap.com/stores/ca/gilroy/
28,California,Glendale,Glendale Galleria-CA,"Baby,Shoes","1118 Glendale Galleria Ste 1069,Glendale, CA 91210-1301",https://bananarepublic.gap.com/stores/ca/glendale/
29,California,Livermore,SF PREMIUM OUTLETS,Factory Store,"2990 Livermore Outlets Drive Ste 2990,Livermore, CA 94551",https://bananarepublic.gap.com/stores/ca/livermore/
30,California,Los Angeles,Century City,"Baby,Shoes","10250 Santa Monica Blvd Spaces H57, H67,Los Angeles, CA 90067-6501",https://bananarepublic.gap.com/stores/ca/losangeles/
31,California,Los Angeles,BEVERLY CENTER,Shoes,"8500 Beverly Blvd Ste 765,Los Angeles, CA 90048-6201",https://bananarepublic.gap.com/stores/ca/losangeles/
32,California,Los Angeles,Grove At Farmers Mkt,"BR Home,Baby","189 The Grove Drive Space J10,Los Angeles, CA 90036",https://bananarepublic.gap.com/stores/ca/losangeles/
33,California,Manteca,PROMSHOP ORCHARD VLY,"Factory Store,Petites","910 Lifestyle Street ,Manteca, CA 95337",https://bananarepublic.gap.com/stores/ca/manteca/
34,California,Milpitas,GREAT MALL/BAY AREA,"Factory Store,Petites,Women's Only,Men's Only","492 Great Mall Drive ,Milpitas, CA 95035-8028",https://bananarepublic.gap.com/stores/ca/milpitas/
35,California,Monterey,Del Monte S/C,BR Home,"1410 Del Monte Center Store 1270,Monterey, CA 93940",https://bananarepublic.gap.com/stores/ca/monterey/
36,California,Napa,NAPA PREMIUM OUTLETS,"Factory Store,Petites","809 Factory Stores Drive ,Napa, CA 94558-5660",https://bananarepublic.gap.com/stores/ca/napa/
37,California,Newport Coast,Crystal Cove,"BR Home,Shoes","7912 East Coast Hwy ,Newport Coast, CA 92657-2119",https://bananarepublic.gap.com/stores/ca/newportcoast/
38,California,Northridge,NORTHRIDGE CENTER-CA,Shoes,"9301 Tampa Avenue Spaces 119, 120,Northridge, CA 91324",https://bananarepublic.gap.com/stores/ca/northridge/
39,California,Novato,VINTAGE OAKS,Factory Store,"208 Vintage Way ,Novato, CA 94945",https://bananarepublic.gap.com/stores/ca/novato/
40,California,Ontario,Ontario Mills,"Factory Store,Petites,Women's Only,Men's Only","1 Mills Circle Space Xm,Ontario, CA 91764-5213",https://bananarepublic.gap.com/stores/ca/ontario/
41,California,Orange,BLOCK AT ORANGE,Factory Store,"20 City Boulevard W Ste 601,Orange, CA 92868-3110",https://bananarepublic.gap.com/stores/ca/orange/
42,California,Palo Alto,Stanford,"BR Home,Baby,Women's Only,Men's Only","172 Stanford Shopping Ctr 172,Palo Alto, CA 94304-1409",https://bananarepublic.gap.com/stores/ca/paloalto/
43,California,Pasadena,Tanner Market,"Baby,Shoes","150 W Colorado Blvd Spaces 144, 148-154,Pasadena, CA 91105-1925",https://bananarepublic.gap.com/stores/ca/pasadena/
44,California,Petaluma,PETALUMA VILLAGE,"Factory Store,Petites","2200 Petaluma Blvd N ,Petaluma, CA 94952",https://bananarepublic.gap.com/stores/ca/petaluma/
45,California,Redlands,MOUNTAIN GROVE,Factory Store,"27461 San Bernardino Ave. Suite 140,Redlands, CA 92374",https://bananarepublic.gap.com/stores/ca/redlands/
46,California,Roseville,Roseville Galleria,"Baby,Shoes","1151 Galleria Blvd Ste 143,Roseville, CA 95678",https://bananarepublic.gap.com/stores/ca/roseville/
47,California,Sacramento,Arden Fair,,"1689 Arden Way Ste 1130,Sacramento, CA 95815-4043",https://bananarepublic.gap.com/stores/ca/sacramento/
