Unnamed: 0,Review_ID,Review_Text,Filled_Stars,Review_Time,filename
0,ChdDSUhNMG9nS0VJQ0FnSUNKMHBYM3VBRRAB,Great caring staff. Sales can be phenomenal on the clearance racks. VG quality.,4,2023,Massachusetts_Lee_LEE PREMIUM.csv
1,ChZDSUhNMG9nS0VJQ0FnSURJcGEzaUV3EAE,"Only 2 stars because the store was super clean and the staff were really nice! However THERE WE NO CLOTHES ON THE RACKS IN THE WOMAN'S DEPARTMENT!! zone 3 was completely empty except one small clearance rack, zone 2 barely had anything at all! I didn't see a life in style section :( I was very dissatisfied with this store's selection",3,2019,Massachusetts_Lee_LEE PREMIUM.csv
2,ChZDSUhNMG9nS0VJQ0FnSUN4MDdIZ1pREAE,They always have what I am looking for.,5,2023,Massachusetts_Lee_LEE PREMIUM.csv
3,ChdDSUhNMG9nS0VJQ0FnSURLNzhud3pnRRAB,"Surprised by poor quality of the men's socks. Cashier not great and not very helpful. If I didn't win all these gift cards I would not purchase anything at this overprice ""outlet"" store. Police car waiting in parking lot made it extra creepy. Avoid this one.",1,2021,Massachusetts_Lee_LEE PREMIUM.csv
4,ChZDSUhNMG9nS0VJQ0FnSURpXzZfWmFnEAE,There was only one cashier at the register and when she called for help the other employees didn’t come. The employees started fixing clothes while looking at us wait at the register. It was very rude and disrespectful so we put our clothes down and left after waiting for so long.,1,2021,Massachusetts_Lee_LEE PREMIUM.csv
5,ChdDSUhNMG9nS0VJQ0FnSURDaGFXTWxRRRAB,"Staff are always incredibly helpful. The store is very clean, and easy to find items I may be looking for.",5,2020,Massachusetts_Lee_LEE PREMIUM.csv
6,ChZDSUhNMG9nS0VJQ0FnSURndy1UclF3EAE,"Great customer service! Always lots of stuff in the store and stocked. Also, those aren’t phones they are on, they’re mobile checkout stations.",5,2018,Massachusetts_Lee_LEE PREMIUM.csv
7,ChZDSUhNMG9nS0VJQ0FnSUM4d2RLUVZREAE,This was at the Lee Plaza Mall. I like all the Banana Republic stores. This one is especially nice because the overall mall is small and all the stores are taking steps to make it safe.,5,2020,Massachusetts_Lee_LEE PREMIUM.csv
8,ChdDSUhNMG9nS0VJQ0FnSUNvcGRINjlnRRAB,"Love this store,  always clean, presentable and staff very welcoming and friendly.",5,2019,Massachusetts_Lee_LEE PREMIUM.csv
9,ChdDSUhNMG9nS0VJQ0FnSUNvdzQyNHR3RRAB,"Beautiful clothing, when I go there i know the minute I come out the store im going to be the sexiest black man in the world",5,2019,Massachusetts_Lee_LEE PREMIUM.csv
0,ChZDSUhNMG9nS0VJQ0FnSUR4dWVQbEV3EAE,"I remember going to BR and staff greeting customers when they walked in, asking if they need help. Now they just stare at you and follow you around the store with their arms crossed.",1,2023,Massachusetts_Lynnfield_MKT STREET LYNNFIELD.csv
