,State,City,Location,Store Type,Address,Endpoint
0,Alabama,Foley,FOLEY (RIVIERA),Gap Factory Store,"2601 South Mckenzie Street Ste G-1,Foley, AL 36535",https://www.gap.com/stores/al/foley/
1,Alaska,Anchorage,DIMOND S/C,"Gap,babyGap,GapKids,GapBody","800 East Dimond Blvd Suite #187,Anchorage, AK 99515",https://www.gap.com/stores/ak/anchorage/
2,Arizona,Chandler,PHOENIX PREMIUM,Gap Factory Store,"4976 Premium Outlets Way Suite 610,Chandler, AZ 85226",https://www.gap.com/stores/az/chandler/
3,Arizona,Glendale,WESTGATE TANGER OUT,Gap Factory Store,"6800 N 95 Ave Suite 600,Glendale, AZ 85305",https://www.gap.com/stores/az/glendale/
4,Arizona,Phoenix,Outlt North Phoenix,Gap Factory Store,"4250 W Anthem Way Ste 385,Phoenix, AZ 85086-7693",https://www.gap.com/stores/az/phoenix/
5,Arizona,Scottsdale,Scottsdale Quarter,"Gap,GapKids,GapBody","15279 N Scottsdale Road Ste B110,Scottsdale, AZ 85254",https://www.gap.com/stores/az/scottsdale/
6,Arizona,Scottsdale,SCOTTSDALE QUARTER,"Gap,GapKids","15279 N Scottsdale Road Ste B105,Scottsdale, AZ 85254",https://www.gap.com/stores/az/scottsdale/
7,Arizona,Tempe,ARIZONA MILLS,Gap Factory Store,"5000 S Arizona Mills Cir Ste 274,Tempe, AZ 85282-6421",https://www.gap.com/stores/az/tempe/
8,Arizona,Tucson,TUCSON PREMIUM OUTLT,Gap Factory Store,"6401 W Marana Center Blvd Ste 536,Tucson, AZ 85742",https://www.gap.com/stores/az/tucson/
9,Arkansas,Little Rock,OUTLS of Little Rock,Gap Factory Store,"11201 Bass Pro Parkway #g M171,Little Rock, AR 72210",https://www.gap.com/stores/ar/littlerock/
10,Arkansas,Rogers,PINNACLE HILLS PRM,"Gap,babyGap,GapKids,GapBody","2203 S Promenade Blvd ,Rogers, AR 72758",https://www.gap.com/stores/ar/rogers/
11,California,Alpine,VIEJAS FACTORY OUTLE,Gap Factory Store,"5003 Willows Road Ste G106,Alpine, CA 91901",https://www.gap.com/stores/ca/alpine/
12,California,Arcadia,SANTA ANITA F/P,"Gap,babyGap,GapKids","400 S Baldwin Ave Ste 179,Arcadia, CA 91007",https://www.gap.com/stores/ca/arcadia/
13,California,Burbank,301 N. SAN FERNANDO,Gap Factory Store,"301 N. San Fernando Blvd. ,Burbank, CA 91502",https://www.gap.com/stores/ca/burbank/
14,California,Cabazon,DESERT HILLS PREMIUM,Gap Factory Store,"48400 Seminole Drive Space #400,Cabazon, CA 92230",https://www.gap.com/stores/ca/cabazon/
15,California,Calexico,GRAN PLAZA,Gap Factory Store,"888 W. Second St. Suite F-180,Calexico, CA 92231",https://www.gap.com/stores/ca/calexico/
16,California,Camarillo,CAMARILLO PREMIUM,Gap Factory Store,"540 Ventura Blvd Suite 1368,Camarillo, CA 93010",https://www.gap.com/stores/ca/camarillo/
17,California,Canoga Park,TOPANGA PLAZA,"Gap,babyGap,GapKids","6600 Topanga Canyon Blvd Space 43a,Canoga Park, CA 91303",https://www.gap.com/stores/ca/canogapark/
18,California,Carlsbad,CARLSBAD PREMIUM,Gap Factory Store,"5620 Paseo Del Norte Suite 102,Carlsbad, CA 92008",https://www.gap.com/stores/ca/carlsbad/
19,California,Cerritos,LOS CERRITOS CNTR,"Gap,babyGap,GapKids,GapBody","220 Los Cerritos Mall A-27,Cerritos, CA 90703",https://www.gap.com/stores/ca/cerritos/
20,California,Commerce,CITADEL OUTLETS,Gap Factory Store,"100 Citadel Drive Ste #591,Commerce, CA 90040",https://www.gap.com/stores/ca/commerce/
21,California,Concord,VERANDA (THE),Gap Factory Store,"2075 Diamond Blvd Space H-160,Concord, CA 94520",https://www.gap.com/stores/ca/concord/
22,California,Corte Madera,VILLAGE CORTE MADERA,"Gap,babyGap,GapKids,GapBody","1554 Redwood Highway C-1,Corte Madera, CA 94925-1224",https://www.gap.com/stores/ca/cortemadera/
23,California,Costa Mesa,SOUTH COAST PLAZA,"Gap,babyGap,GapKids","3333 Bristol St Ste 1862,Costa Mesa, CA 92626-1811",https://www.gap.com/stores/ca/costamesa/
24,California,Encinitas,ENCINITAS VILLAGE,"Gap,babyGap,GapKids,GapBody","115 N. El Camino Real Ste 117,Encinitas, CA 92024",https://www.gap.com/stores/ca/encinitas/
25,California,Folsom,FOLSOM PREMIUM,Gap Factory Store,"13000 Folsom Blvd Suite 1320,Folsom, CA 95630",https://www.gap.com/stores/ca/folsom/
26,California,Fresno,OCEANX FDC,,"3685 North Gap Drive ,Fresno, CA 93727",https://www.gap.com/stores/ca/fresno/
27,California,Gilroy,GILROY PREMIUM,Gap Factory Store,"8555 San Ysidro Ave Ste F10,Gilroy, CA 95020",https://www.gap.com/stores/ca/gilroy/
28,California,Glendale,Glendale Galleria-CA,"Gap,babyGap,GapKids,GapBody","2122 Glendale Galleria Space 1161,Glendale, CA 91210-1301",https://www.gap.com/stores/ca/glendale/
29,California,Huntington Beach,5 POINTS PLAZA,"Gap,babyGap,GapKids,GapBody","18681 Main Street #c,Huntington Beach, CA 92648",https://www.gap.com/stores/ca/huntingtonbeach/
30,California,Inglewood,VILLAGE AT CENTURY,Gap Factory Store,"3480 West Century Blvd ,Inglewood, CA 90303",https://www.gap.com/stores/ca/inglewood/
31,California,Lake Elsinore,LAKE ELSINORE,Gap Factory Store,"17600 Collier Avenue D086 & D087,Lake Elsinore, CA 92530",https://www.gap.com/stores/ca/lakeelsinore/
32,California,Livermore,SF PREMIUM OUTLETS,Gap Factory Store,"3002 Livermore Outlets Drive Space # 300,Livermore, CA 94551",https://www.gap.com/stores/ca/livermore/
33,California,Long Beach,THE PIKE OUTLETS,Gap Factory Store,"55 Bay St Unit 590,Long Beach, CA 90802",https://www.gap.com/stores/ca/longbeach/
34,California,Los Angeles,CENTURY CITY,"Gap,babyGap,GapKids,GapBody","10250 Santa Monica Blvd B-14,Los Angeles, CA 90067-6501",https://www.gap.com/stores/ca/losangeles/
35,California,Los Angeles,GROVE AT FARMERS MKT,"Gap,babyGap,GapKids,GapBody","189 The Grove Drive H80,Los Angeles, CA 90036-6225",https://www.gap.com/stores/ca/losangeles/
36,California,Manhattan Beach,MANHATTAN VILLAGE,"Gap,babyGap,GapKids,GapBody","3200 N Sepulveda Blvd E-10,Manhattan Beach, CA 90266",https://www.gap.com/stores/ca/manhattanbeach/
37,California,Milpitas,Great Mall/Bay Area,Gap Factory Store,"447 Great Mall Drive Suite 271,Milpitas, CA 95035",https://www.gap.com/stores/ca/milpitas/
38,California,Mission Viejo,MISSION VIEJO MALL,"Gap,babyGap,GapKids,GapBody","234 The Shops At Mission Viejo 234,Mission Viejo, CA 92691",https://www.gap.com/stores/ca/missionviejo/
39,California,Monterey,Del Monte S/C,"Gap,babyGap,GapKids,GapBody","1410 Del Monte Center Store 615,Monterey, CA 93940",https://www.gap.com/stores/ca/monterey/
40,California,Napa,NAPA PREMIUM OUTLETS,Gap Factory Store,"629 Factory Stores Drive ,Napa, CA 94558",https://www.gap.com/stores/ca/napa/
41,California,Newport Coast,Crystal Cove,"Gap,babyGap,GapKids,GapBody","8012 East Coast Hwy B203,Newport Coast, CA 92657-2121",https://www.gap.com/stores/ca/newportcoast/
42,California,Novato,VINTAGE OAKS,Gap Factory Store,"208 Vintage Way Ste K15,Novato, CA 94945",https://www.gap.com/stores/ca/novato/
43,California,Oakland,LAKESHORE AV-OAKLAND,"Gap,babyGap,GapKids","3277 Lakeshore Avenue ,Oakland, CA 94610-2719",https://www.gap.com/stores/ca/oakland/
44,California,Ontario,Ontario Mills,Gap Factory Store,"1 Mills Circle Space 834,Ontario, CA 91764",https://www.gap.com/stores/ca/ontario/
45,California,Orange,OUTLETS AT ORANGE,Gap Factory Store,"20 City Boulevard Space 1560,Orange, CA 92868",https://www.gap.com/stores/ca/orange/
46,California,Palo Alto,STANFORD,"Gap,babyGap,GapKids,GapBody","165 Stanford Shopping Ctr 165,Palo Alto, CA 94304-1409",https://www.gap.com/stores/ca/paloalto/
47,California,Petaluma,PETALUMA VILLAGE,Gap Factory Store,"2200 Petaluma Blvd. North Space #300,Petaluma, CA 94952",https://www.gap.com/stores/ca/petaluma/
48,California,Redlands,MOUNTAIN GROVE,Gap Factory Store,"27461 San Bernardino Ave Suite 130,Redlands, CA 92374",https://www.gap.com/stores/ca/redlands/
49,California,Roseville,ROSEVILLE GALLERIA,"Gap,babyGap,GapKids","1151 Galleria Blvd Ste 246,Roseville, CA 95678",https://www.gap.com/stores/ca/roseville/
50,California,San Diego,UNIVERSITY T/C - CA,"Gap,babyGap,GapKids,GapBody","4505 La Jolla Village Dr C-9,San Diego, CA 92122-1297",https://www.gap.com/stores/ca/sandiego/
51,California,San Francisco,CHESTNUT ST - SF,"Gap,babyGap,GapKids","2159 Chestnut Street ,San Francisco, CA 94123-2708",https://www.gap.com/stores/ca/sanfrancisco/
52,California,San Francisco,Gap at 2 Folsom,Gap,"2 Folsom Street ,San Francisco, CA 94105",https://www.gap.com/stores/ca/sanfrancisco/
53,California,San Jose,WESTGATE MALL,Gap Factory Store,"1600 Saratoga Ave ,San Jose, CA 95129",https://www.gap.com/stores/ca/sanjose/
54,California,San Leandro,MARINA SQUARE,Gap Factory Store,"1259 Marina Blvd. ,San Leandro, CA 94577-3322",https://www.gap.com/stores/ca/sanleandro/
55,California,San Mateo,HILLSDALE,"Gap,babyGap,GapKids,GapBody","437 Hillsdale Mall Ste #2148,San Mateo, CA 94403-3404",https://www.gap.com/stores/ca/sanmateo/
56,California,Santa Barbara,PASEO NUEVO,"Gap,babyGap,GapKids,GapBody","615 Paseo Nuevo ,Santa Barbara, CA 93101-3388",https://www.gap.com/stores/ca/santabarbara/
57,California,Santa Clara,VALLEY FAIR - CA,"1969,Gap,babyGap,GapKids,GapBody","2855 Stevens Creek Blvd Ste 1015,Santa Clara, CA 95050-6709",https://www.gap.com/stores/ca/santaclara/
58,California,Santa Cruz,PACIFIC AV-SNTA CRUZ,"Gap,babyGap,GapKids,GapBody","1225 Pacific Avenue ,Santa Cruz, CA 95060-3914",https://www.gap.com/stores/ca/santacruz/
