,Author,Subject,Date,Rating,Review,Sentiment,SheetName
503,Karen Ios,DO NOT PURCHASE FROM GAP,2019-11-19,1.0,"
                I paid extra to have an order I paid for arrive early, however did not receive my order. Gap did nothing except keep my money while I'm trying to get my money back since I received no products. They didn't even bother to call the shipping company to verify: they literally did nothing but keep my money! Not ethical or honest!        
    ",0.98,gap
505,Yashika K Nfd,Dissatisfaction with gap sizes,2019-12-28,,"
                The sizes are always unpredictable. They get extreme loose after one wash only n there is no such policy to make exchange during sale N their sizes never fits properly and they dnt evm change        
    ",0.25,gap
506,Trudie Fxu,"Cheap fabric, expensive prices",2019-10-23,3.9,,0.0,gap
507,Adriana H Qjw,First Experience/Will be My Last!,2019-05-18,2.3,"
                Ordered 6 tee shirts online. Said they were reduced from $16.00. No way. . Quality was awful and they smelled bad to boot. Called to return and was told that EVEN IF I return these items to the store, I will pay $5.95 for restocking fee. What? I have never heard of such a thing. I have a credit card and am going to cancel it. Never again. Years ago, they provided good products. Now. Not at all. Customer service is horrible and their restocking fee is ridiculous.        
    ",0.02,gap
508,Karan Qnt,Worst ever experience with GAP,2018-12-14,1.0,"
                Worst shopping experience with GAP! It was my first time shopping in GAP and worst ever experience. I ordered on Nov 23th, 2018. Ordered total 18 items and checked with GAP customer care on Dec 5th, 2018 for confirmation of delivery by Dec 11,2018. After waiting for delivery until Dec 13th, 2018, I called GAP customer care and came to know that UPS is returning the package to GAP and UPS tracking number is not provided to me by GAP. When I connected with UPS for package, they were looking for UPS tracking number which is not provided to me. Its really frustrating to coordinate with GAP and UPS for delivery of shipment. I have been forced to cancel the order. Never recommend anyone to use GAP products because of worst service experience!        
    ",0.99,gap
509,Mike H Hab,Glitch on line,2018-12-09,1.4,"
                Paid for a purchase on my gap card, processed payment, got my confirmation. 1 week later got a snail mail saying they had a error and couldnt process the payment. 2 weeks an email arrives stating the same thing?? Mailed out my payment for $26..got a new statement for DOUBLE. Called customer service..said nothing they can do to help. So had to pay double for there issue nevermind the late charge on my credit report!!        
    ",0.05,gap
510,PissedConsumer1271745,Terrible service,2018-06-04,1.4,"
                Got a gap credit card order a bunch off stuff. One outfit didn't fit. Went to the store at qns mall 3 days they wouldn't exchange saying it was not on my c.c the store must have given me 2 carda. The bank said no you have one card. Still have no clue how many cards I have so cancelled all. They charged me more money to exchange the clothes. Their customer service was no help at all they could care less        
    ",0.39,gap
511,PissedConsumer1281710,Mean and rude associates,2018-06-16,,"
                I went to the store to return defective pAir of pants I bought for my husband and we realised it was defective after he wore it for literally 10 mins. The associate was rude, she made fun of my accent (I Harv Asian accent) and finally when I was almost crying and about to leave, another customer behind me in line intervened and then the associate returned the pants. Poor, Poor, Poor........ Will never go to any GAP store again...you lost a very loyal customer this week.        
    ",0.99,gap
512,PissedConsumer1231615,Worker using the *** word,2018-04-11,3.2,"
                Yeaterday at GAP in Destin, Florida, two of the cash register ladies got in some sort of argument, dont even know what it was about. One of the ladies, Jennifer, said to a younger girl, 'You're *** doing it wrong'. At this, the younger girl, said I've had enough of this, and went to the back of the store. I just put my stuff on the neareat rack and walked out, since i was just waiting in line. I dont see why customers are exposed to this. So i have to saying rhe same the to make aurw i have enough words to complain.        
    ",0.26,gap
513,PissedConsumer971146,"Short Review on December 11, 2016",2016-12-11,3.0,"
                Order on line just received and need to ship to Portugal before Tuesday (12/13). What do do now????        
    ",0.02,gap
